IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,prevent-mac-from-sleeping.3bitlab.com,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
DomainName,dotnetniet.com,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
DomainName,acescreen.app,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
DomainName,inchwest.com,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
DomainName,dlaa.me,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
DomainName,dcmembers.com,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
DomainName,murgee.com,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
DomainName,ixeau.com,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
DomainName,darkfame.net,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
DomainName,sleepnomoreapp.com,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
DomainName,nosleep.page,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
DomainName,majorgeeks.com,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
DomainName,vvbrown.com,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
DomainName,dobysoft.com,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
DomainName,keepscreenon.com,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
DomainName,softwareok.com,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
DomainName,econap.de,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
DomainName,loopandkey.com/wakeful,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
DomainName,stellawake.com,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
DomainName,coffeeff.sourceforge.net,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
DomainName,mrmilk.com.br,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
DomainName,insomniate.com,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://github.com/arkane-systems/mousejiggler,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://github.com/twentynine78/keepon,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://www.softpedia.com/get/others/miscellaneous/idle-clock-locker.shtml,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://apps.apple.com/us/app/home/id954592389,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://github.com/downloads/dmnd/caffeinated/,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://launchpad.net/insomniat,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://apps.microsoft.com/store/detail/move-mouse,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://github.com/sabrogden/ditto,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://sourceforge.net/projects/coffeeff/files/latest/download,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://mackeeper.com/blog/prevent-your-mac-from-sleep/,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://apps.apple.com/us/app/sleep-control-centre/,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://appahead.studio/apps/theine/,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://cleanmymac.com/blog/keep-macbook-from-sleeping,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://chromewebstore.google.com/detail/keep-awake/bijihlabcfdnabacffofojgmehjdielb,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://chromewebstore.google.com/detail/keep-awake-display-system/apmicgkbejflkgeljipcebaoeigmangd,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://chromewebstore.google.com/detail/keep-awake/inglelmldhjcljkomheneakjkpadclhf,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://chromewebstore.google.com/detail/caffeine-keep-awake/fcblbbbkcneogddmpmfdchnocbpfpmag,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://chromewebstore.google.com/detail/keep-computer-awake-for-a/imbpigcghoambmanjekibelfjemnnool,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://chromewebstore.google.com/detail/stay-awake-keep-your-comp/gofaiibillcpfajafckhoieamembimje,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://chromewebstore.google.com/detail/awake-keep-awake-while-do/ihmfnheijlagmmbbegepekbebgpkolop,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://chromewebstore.google.com/detail/keep-awake-your-system-or/kioaomfokioenhackhaijiebhhkkcojo,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://chromewebstore.google.com/detail/be-awake/ibaenepllmhoekeccnhdbnijijebehdl,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://chromewebstore.google.com/detail/keep-awake/hjfibcmcdbeaikcglnhineogdmpdchio,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://chromewebstore.google.com/detail/turn-off-sleep-mode/pinjghhmldainbadpbmjhcjefadbmnck,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://chromewebstore.google.com/detail/pinger/egbpibkpckbdhmacfijknpecliodfcgh,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://microsoftedge.microsoft.com/addons/detail/stay-awake-keep-your-com/odapbgbfegnaghhclilijaamaoellbla,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
