IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,totalav.com,,Block,Informational,Unsanctioned: Antivirus. Can Turn off Defender,Unsanctioned: Antivirus. Can Turn off Defender. Ensure “EDR in block Mode” is enabled.,Unsanctioned,,,,false
DomainName,kaspersky.co.uk ,,Block,Informational,Unsanctioned: Antivirus. Can Turn off Defender,Unsanctioned: Antivirus. Can Turn off Defender. Ensure “EDR in block Mode” is enabled.,Unsanctioned,,,,false
DomainName,avira.com,,Block,Informational,Unsanctioned: Antivirus. Can Turn off Defender,Unsanctioned: Antivirus. Can Turn off Defender. Ensure “EDR in block Mode” is enabled.,Unsanctioned,,,,false
DomainName,bitdefender.com,,Block,Informational,Unsanctioned: Antivirus. Can Turn off Defender,Unsanctioned: Antivirus. Can Turn off Defender. Ensure “EDR in block Mode” is enabled.,Unsanctioned,,,,false
DomainName,downloads.malwarebytes.com,,Block,Informational,Unsanctioned: Antivirus. Can Turn off Defender,Unsanctioned: Antivirus. Can Turn off Defender. Ensure “EDR in block Mode” is enabled.,Unsanctioned,,,,false
Url,https://www.malwarebytes.com/getprotection ,,Block,Informational,Unsanctioned: Antivirus. Can Turn off Defender,Unsanctioned: Antivirus. Can Turn off Defender. Ensure “EDR in block Mode” is enabled.,Unsanctioned,,,,false
DomainName,mbamupdates.com ,,Block,Informational,Unsanctioned: Antivirus. Can Turn off Defender,Unsanctioned: Antivirus. Can Turn off Defender. Ensure “EDR in block Mode” is enabled.,Unsanctioned,,,,false
DomainName,iobit.com,,Block,Informational,Unsanctioned: Antivirus. Can Turn off Defender,Unsanctioned: Antivirus. Can Turn off Defender. Ensure “EDR in block Mode” is enabled.,Unsanctioned,,,,false
Url,https://www.bitdefender.com/en-gb/consumer/ ,,Block,Informational,Unsanctioned: Antivirus. Can Turn off Defender,Unsanctioned: Antivirus. Can Turn off Defender. Ensure “EDR in block Mode” is enabled.,Unsanctioned,,,,false
DomainName,auslogics.com,,Block,Informational,Unsanctioned: Antivirus. Can Turn off Defender,Unsanctioned: Antivirus. Can Turn off Defender. Ensure “EDR in block Mode” is enabled.,Unsanctioned,,,,false
DomainName,Bromium.com,,Block,Informational,Unsanctioned: Antivirus. Can Turn off Defender,Unsanctioned: Antivirus. Can Turn off Defender. Ensure “EDR in block Mode” is enabled.,Unsanctioned,,,,false
DomainName,drweb.com,,Block,Informational,Unsanctioned: Antivirus. Can Turn off Defender,Unsanctioned: Antivirus. Can Turn off Defender. Ensure “EDR in block Mode” is enabled.,Unsanctioned,,,,false
DomainName,gridinsoft.com,,Block,Informational,Unsanctioned: Antivirus. Can Turn off Defender,Unsanctioned: Antivirus. Can Turn off Defender. Ensure “EDR in block Mode” is enabled.,Unsanctioned,,,,false
DomainName,hitmanpro.com,,Block,Informational,Unsanctioned: Antivirus. Can Turn off Defender,Unsanctioned: Antivirus. Can Turn off Defender. Ensure “EDR in block Mode” is enabled.,Unsanctioned,,,,false
DomainName,av-test.org,,Block,Informational,Unsanctioned: Antivirus. Can Turn off Defender,Unsanctioned: Antivirus. Can Turn off Defender. Ensure “EDR in block Mode” is enabled.,Unsanctioned,,,,false
DomainName,sophos.com,,Block,Informational,Unsanctioned: Antivirus. Can Turn off Defender,Unsanctioned: Antivirus. Can Turn off Defender. Ensure “EDR in block Mode” is enabled.,Unsanctioned,,,,false
DomainName,loaris.app,,Block,Informational,Unsanctioned: Antivirus. Can Turn off Defender,Unsanctioned: Antivirus. Can Turn off Defender. Ensure “EDR in block Mode” is enabled.,Unsanctioned,,,,false
DomainName,glarysoft.com,,Block,Informational,Unsanctioned: Antivirus. Can Turn off Defender,Unsanctioned: Antivirus. Can Turn off Defender. Ensure “EDR in block Mode” is enabled.,Unsanctioned,,,,false
DomainName,mcafee.com,,Block,Informational,Unsanctioned: Antivirus. Can Turn off Defender,Unsanctioned: Antivirus. Can Turn off Defender. Ensure “EDR in block Mode” is enabled.,Unsanctioned,,,,false
DomainName,norton.com,,Block,Informational,Unsanctioned: Antivirus. Can Turn off Defender,Unsanctioned: Antivirus. Can Turn off Defender. Ensure “EDR in block Mode” is enabled.,Unsanctioned,,,,false
DomainName,netgate.sk,,Block,Informational,Unsanctioned: Antivirus. Can Turn off Defender,Unsanctioned: Antivirus. Can Turn off Defender. Ensure “EDR in block Mode” is enabled.,Unsanctioned,,,,false
DomainName,nextron-systems.com,,Block,Informational,Unsanctioned: Antivirus. Can Turn off Defender,Unsanctioned: Antivirus. Can Turn off Defender. Ensure “EDR in block Mode” is enabled.,Unsanctioned,,,,false
