IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
Url,https://chromewebstore.google.com/detail/keep-awake/bijihlabcfdnabacffofojgmehjdielb,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://chromewebstore.google.com/detail/keep-awake-display-system/apmicgkbejflkgeljipcebaoeigmangd,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://chromewebstore.google.com/detail/keep-awake/inglelmldhjcljkomheneakjkpadclhf,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://chromewebstore.google.com/detail/caffeine-keep-awake/fcblbbbkcneogddmpmfdchnocbpfpmag,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://chromewebstore.google.com/detail/keep-computer-awake-for-a/imbpigcghoambmanjekibelfjemnnool,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://chromewebstore.google.com/detail/stay-awake-keep-your-comp/gofaiibillcpfajafckhoieamembimje,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://chromewebstore.google.com/detail/awake-keep-awake-while-do/ihmfnheijlagmmbbegepekbebgpkolop,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://chromewebstore.google.com/detail/keep-awake-your-system-or/kioaomfokioenhackhaijiebhhkkcojo,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://chromewebstore.google.com/detail/be-awake/ibaenepllmhoekeccnhdbnijijebehdl,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://chromewebstore.google.com/detail/keep-awake/hjfibcmcdbeaikcglnhineogdmpdchio,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://chromewebstore.google.com/detail/turn-off-sleep-mode/pinjghhmldainbadpbmjhcjefadbmnck,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://chromewebstore.google.com/detail/pinger/egbpibkpckbdhmacfijknpecliodfcgh,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://microsoftedge.microsoft.com/addons/detail/stay-awake-keep-your-com/odapbgbfegnaghhclilijaamaoellbla,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://microsoftedge.microsoft.com/addons/detail/caffeine-keep-awake/kfcdcelkpooajbeepngjepgklbagnkng,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://microsoftedge.microsoft.com/addons/detail/awake-keep-awake-while-/dflagdhilgplmbbhibadcnmbodcndaba,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://microsoftedge.microsoft.com/addons/detail/keep-awake/gfhofbkjceebgbcepiodhhmelbdbdcfh,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://microsoftedge.microsoft.com/addons/detail/keep-awake-display-sys/jjaendaehnalocdginbjmaclfjgidlla,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://microsoftedge.microsoft.com/addons/detail/keep-computer-awake-for-/gpcjnpdkecmdghbnkeifiljlknkjhjke,,Block,,Sleep Prevention Tool,Sleep Prevention Tool,,,,,FALSE
Url,https://microsoftedge.microsoft.com/addons/detail/windscribe-free-proxy-a/dkkdbpgldnmkhcliffjpajcfdjkcaddf,,Block,,Windscribe VPN,Windscribe VPN,,,,,FALSE
Url,https://microsoftedge.microsoft.com/addons/detail/nordvpn-the-fastest-vpn/fphgeikpdcdcheaochkhldmnfblfogla,,Block,,Nord VPN,Nord VPN,,,,,FALSE
Url,https://chromewebstore.google.com/detail/nordvpn-vpn-proxy-for-pri/fjoaledfpmneenckfbpdfhkmimnjocfa,,Block,,Browser VPN,Browser VPN,,,,,FALSE
Url,https://chromewebstore.google.com/detail/free-vpn-1vpn/akcocjjpkmlniicdeemdceeajlmoabhg,,Block,,Browser VPN,Browser VPN,,,,,FALSE
Url,https://chromewebstore.google.com/detail/browser-vpn-free-and-unli/kdjilbflpbbilgehjjppohpfplnapkbp,,Block,,Browser VPN,Browser VPN,,,,,FALSE
Url,https://chromewebstore.google.com/detail/easygood-free-unlimited-v/pgpcjennihmkbbpifnjkdpkagpaggfaa,,Block,,Browser VPN,Browser VPN,,,,,FALSE
Url,https://chromewebstore.google.com/detail/windscribe-free-proxy-and/hnmpcagpplmpfojmgmnngilcnanddlhb,,Block,,Browser VPN,Browser VPN,,,,,FALSE
Url,https://chromewebstore.google.com/detail/surfshark-vpn-extension/ailoabdmgclmfmhdagmlohpjlbpffblp,,Block,,Browser VPN,Browser VPN,,,,,FALSE
Url,https://chromewebstore.google.com/detail/vpn-surf-fast-vpn-by-unbl/nhnfcgpcbfclhfafjlooihdfghaeinfc,,Block,,Browser VPN,Browser VPN,,,,,FALSE
Url,https://chromewebstore.google.com/detail/vpn-ultimate-best-vpn-by/epeigjgefhajkiiallmfblgglmdbhfab,,Block,,Browser VPN,Browser VPN,,,,,FALSE
Url,https://chromewebstore.google.com/detail/urban-vpn-proxy/eppiocemhmnlbhjplcgkofciiegomcon,,Block,,Browser VPN,Browser VPN,,,,,FALSE
Url,https://microsoftedge.microsoft.com/addons/detail/urban-vpn-proxy/nimlmejbmnecnaghgmbahmbaddhjbecg,,Block,,Browser VPN,Browser VPN,,,,,FALSE
Url,https://microsoftedge.microsoft.com/addons/detail/safum-vpn-free-vpn/ncpkioolbefiinmbflfglojjabaipegg,,Block,,Browser VPN,Browser VPN,,,,,FALSE
Url,https://microsoftedge.microsoft.com/addons/detail/brisk-vpn/dcilfpgbkejhaalpickaaelfddepgkgg,,Block,,Browser VPN,Browser VPN,,,,,FALSE
