IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,iiiii.info,,Block,,APT43/Kimsuky (Black Banshee),APT43/Kimsuky (Black Banshee),,,,,FALSE
DomainName,uberlingen.com,,Block,,APT43/Kimsuky (Black Banshee),APT43/Kimsuky (Black Banshee),,,,,FALSE
DomainName,ignorelist.com,,Block,,APT43/Kimsuky (Black Banshee),APT43/Kimsuky (Black Banshee),,,,,FALSE
DomainName,signin-ym.quest,,Block,,APT43/Kimsuky (Black Banshee),APT43/Kimsuky (Black Banshee),,,,,FALSE
DomainName,mnlp.quest,,Block,,APT43/Kimsuky (Black Banshee),APT43/Kimsuky (Black Banshee),,,,,FALSE
DomainName,oso-usps.com,,Block,,APT43/Kimsuky (Black Banshee),APT43/Kimsuky (Black Banshee),,,,,FALSE
DomainName,port0.org,,Block,,APT43/Kimsuky (Black Banshee),APT43/Kimsuky (Black Banshee),,,,,FALSE
DomainName,0rg.us,,Block,,APT43/Kimsuky (Black Banshee),APT43/Kimsuky (Black Banshee),,,,,FALSE
DomainName,p-e.kr,,Block,,APT43/Kimsuky (Black Banshee),APT43/Kimsuky (Black Banshee),,,,,FALSE
DomainName,o-r.kr,,Block,,APT43/Kimsuky (Black Banshee),APT43/Kimsuky (Black Banshee),,,,,FALSE
DomainName,youramys.com ,,Block,,APT43/Kimsuky (Black Banshee),APT43/Kimsuky (Black Banshee),,,,,FALSE
DomainName,coralcleary.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,emiliafalk.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,einureqbaftjc.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,uckldadoaierbex.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,joanapatterson.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,ylunndoiclrdaa.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,dscgs8xo.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,slrheeibtuebsid.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,einureqbaftjc.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,aybnmmtiluah.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,uerupmmllyd.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,leacshlenmmdgza.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,ylunndoiclrdaa.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,slrheeibtuebsid.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,jayden1077.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,yralecaeaghnrsn.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,88d2jrux.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,9kgfjtlv.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,teairncakli.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,oednlakueupsap.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,aybnmmtiluah.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,debra1027.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,lwvemrlaensi.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,slrheeibtuebsid.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,jamar1026.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,epd5tuee.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,anotudhoeah.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,cullen1015.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,amariruth.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,jamar1026.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,jayden1077.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,amariruth.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,esalasaimr-c19.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,einureqbaftjc.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,eoethehorbmnlkntua.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,lwvemrlaensi.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,ieislnqveulte.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,larerercgbanelu.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,9kgfjtlv.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,9kgfjtlv.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,esalasaimr-c19.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,so3yeui8.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,amariruth.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,jayden1077.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,einureqbaftjc.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,esalasaimr-c19.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,tlavaeonryersvs.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,ieislnqveulte.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,yralecaeaghnrsn.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,aybnmmtiluah.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,aybnmmtiluah.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,jamar1026.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,jalincrowe.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,uriahmontague.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,emiliafalk.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,debra1027.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,amariruth.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,lexiegamboa.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,ecormllhoi.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,citlaliheck.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,leacshlenmmdgza.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,itrlcuvapioelcr.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,9kgfjtlv.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,joanapatterson.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,uriahmontague.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,emiliafalk.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,kasrhienddnhasae.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,jayden1077.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,jayden1077.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,lexiegamboa.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,lwvemrlaensi.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,cullen1015.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,alessandraquinn.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,sbretasaheliba.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,nuiblalrlewln.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,nganarxnksoroo.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,eniatolitse.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,aardhnrscidcahr.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,amariruth.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,einureqbaftjc.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,amariruth.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,epd5tuee.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,tierfaitneuro.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,9kgfjtlv.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,joanapatterson.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,aardhnrscidcahr.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,amariruth.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,uriahmontague.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,dscgs8xo.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,iodoeamnnsc.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,itrlcuvapioelcr.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,ylunndoiclrdaa.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,so3yeui8.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,naacraleindir.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,nganarxnksoroo.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,einureqbaftjc.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,itrlcuvapioelcr.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,alessandraquinn.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,nswoadaas.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,tyron1133.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,tyron1133.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,eleutamdcdla.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,eleutamdcdla.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,esalasaimr-c19.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,lwvemrlaensi.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,epd5tuee.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,elrtuearsddecul.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,wl5n4b9b.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,oednlakueupsap.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,sbretasaheliba.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,karsonjacobsen.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,oednlakueupsap.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,oednlakueupsap.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,anotudhoeah.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,ecormllhoi.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
