IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,astian.org,,Block,Informational,Midori Browser,Midori Browser,Unsanctioned,,,,false
DomainName,bromite.org,,Block,Informational,Bromite Browser,Bromite Browser,Unsanctioned,,,,false
DomainName,thorium.rocks,,Block,Informational,Throium Browser,Throium Browser,Unsanctioned,,,,false
DomainName,librewolf.net,,Block,Informational,Unsanctioned browser,Unsanctioned browser,Unsanctioned,,,,false
DomainName,cromite.org,,Block,Informational,Unsanctioned Browser,Unsanctioned Browser,Unsanctioned,,,,false
DomainName,safe-guard.app,,Block,Informational,Unsanctioned Browser,Unsanctioned,Unsanctioned,,,,false
DomainName,pinokio.computer,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
DomainName,alohabrowser.com,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
Url,https://github.com/versotile-org/verso,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
Url,https://github.com/ladybirdbrowser/ladybird,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
Url,https://github.com/dioxuslabs/blitz,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
DomainName,paradisepunchlemonade.life,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
DomainName,cudominer.com,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
DomainName,waterfox.net,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
DomainName,alohabrowser.com,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
DomainName,avantbrowser.com,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
DomainName,briskbard.com,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
DomainName,floorp.app,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
DomainName,wavesor.com,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
DomainName,palemoon.org,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
DomainName,naver.com,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
DomainName,dolphin-anty.com,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
DomainName,avast.com,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
DomainName,arc.net,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
DomainName,beakerbrowser.com,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
DomainName,seamonkey-project.org,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
DomainName,brave.com,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
DomainName,vivaldi.com,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
Url,https://www.ecosia.org/browser,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
DomainName,epicbrowser.com,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
DomainName,maxthon.com,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
DomainName,mullvad.net,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
Url,https://apps.microsoft.com/detail/9n3g1m08p81p?hl=en-US&gl=US,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
DomainName,opera.com,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
DomainName,puffin.com,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
DomainName,yandex.com,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
DomainName,yandex.ru,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
Url,https://apps.microsoft.com/detail/xpfcfkcnntxgqd?hl=en-US&gl=US,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
DomainName,yandex-browser.en.uptodown.com,,Block,Informational,Unsanctioned,TBH I'd just block the entire of .uptodown.com,Unsanctioned,,,,false
DomainName,torproject.org,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
DomainName,brave.com,,Block,Informational,Unsanctioned,Unsanctioned,Unsanctioned,,,,false
FileSha256,71605B992F22D577A23CDF3A49EF28A715F637BD095736F2F2F5B8046816C7E0,,BlockAndRemediate,Informational,Librewolf Installer (MS Store),Unsanctioned,Unsanctioned,,,,false
FileSha256,D3F8397BBFDFF5E1687855312329C292FF05EB81A7D086408D30AC3B1308B763,,BlockAndRemediate,Informational,Arc Browser Installer,Unsanctioned,Unsanctioned,,,,false
FileSha256,0e87f0fa2ce3888f051d3d1c8f120fe54b35c4eb04a9bd0f3893e4b562fccf4a,,BlockAndRemediate,Informational,Pinkio Browser,Unsanctioned,Unsanctioned,,,,false
FileSha256,f0762b9c85027acb99ca26177ebf58bdf84d2d5e4401296c7ce95788280ece10,,BlockAndRemediate,Informational,SafeGuard Browser,Unsanctioned,Unsanctioned,,,,false
FileSha256,d3099f54b58041ff1d36f1e8f59b78e3589cb301e4dd0530bf75fcdfc4a35e2e,,BlockAndRemediate,Informational,SafeGuard Browser,Unsanctioned,Unsanctioned,,,,false
FileSha256,ce886c24b9e0f0d70e11acf4d5cb60019df15b62d31289f9a9b1dc22be8b13cc,,BlockAndRemediate,Informational,Dolphin Anty Browser,Dolphin Anty Browser,Unsanctioned,,,,false
FileSha256,3bcae4d72d6d6bf49673316eac81e2282056076e55b1091738ab0e9bad7fcf2d,,BlockAndRemediate,Informational,Dolphin anty browser,Dolphin anty browser,Unsanctioned,,,,false
