IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,hangouts.google.com,,Warn,Low,Chat application,Chat application,,,,,FALSE
DomainName,talk.google.com,,Warn,Low,Chat application,Chat application,,,,,FALSE
DomainName,messenger.com,,Block,Low,Chat application,Chat application,,,,,FALSE
DomainName,nheko-reborn.github.io,,Block,Informational,Chat Application,Chat Application,,,,,FALSE
DomainName,trillian.im,,Block,Low,Chat application,Chat application,,,,,FALSE
DomainName,loom.com,,Block,Low,Chat application,Chat application,,,,,FALSE
DomainName,matrix.org,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,element.io,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,meetfranz.com,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,telegram.org,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,t.me,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,telegram.me,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,telegram-cdn.org,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,telesco.pe,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,discord.com,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,discordapp.com,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,discordsays.com,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,betterdiscord.app,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,cancel.fm,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,guilded.gg,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,jami.net,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,line.me,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,linecorp.com,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,line.biz,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,line-apps.com,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,line.naver.jp,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,line-scdn.net,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,line-website.com,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,linepluscorp.com,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,line-chrome-gw.line-apps.com,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,getsession.org,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,signal.org,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,whispersystems.org,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,wechat.com,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,teamspeak.com,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,whatsapp.com,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,whatsapp.net,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,viber.com,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,viber.en,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,wickr.com,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,mirc.co.uk,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,oovoo.com,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,pidgin.im,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,snapchat.com,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,chaturbate.com,,Block,Low,Chat application,Chat application,,,,,FALSE
DomainName,stripchat.com,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,kik.com,,Block,Informational,Chat application,Chat application,,,,,FALSE
DomainName,ometv.chat,,Block,Low,Chat application,Chat application,,,,,FALSE
DomainName,kakaocorp.com,,Block,Low,Chat application,Chat application,,,,,FALSE
DomainName,tox.chat,,Block,Low,Chat application,Chat application,,,,,FALSE
DomainName,threema.ch,,Block ,Low,Chat application,Chat application,,,,,FALSE
DomainName,beeper.com,,Block ,Low,Chat application,Chat application,,,,,FALSE
