IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,invity.io,,Block,Informational,Crypto,Crypto,,,,,FALSE
DomainName,bitpay.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,paybis.com,,Block,Informational,Crypto,Crypto,,,,,FALSE
DomainName,nexo.com,,Block,Informational,Crypto,Crypto,,,,,FALSE
DomainName,cex.io,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,eapcg.cn,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,cudominer.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,xmrig.com,,Block ,Low,Crypto,Crypto,,,,,FALSE
DomainName,htx.com,,Block ,Low,Crypto,Crypto,,,,,FALSE
DomainName,coinbase.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,coindesk.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,crypto.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,cryptowallet.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,tacocrypto.io,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,cryptomus.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,cryptorank.io,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,cryptowheel.net,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,cryptobubbles.net,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,cryptopotato.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,keplr.app,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,exodus.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,coinstats.app,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,ledger.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,cryptohopper.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,koinly.io,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,mycrypto.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,kraken.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,kucoin.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,binance.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,yobit.net,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,okx.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,minergate.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,cryptoguru.org,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,nicehash.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,foxypool.cf,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,coinlab.biz,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,btcc.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,cryptohosting.eu,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,bitcoin.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,minero.pw,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,vvpool.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,zzqhsrg.ru,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,bitfex.trade,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,crypit.net,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,fixedtradecoin.org,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,angrypool.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,nanopool.org,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,antpool.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,coinpoolit.webhop.me,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,gethash.cc,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,nownodes.io,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,2miners.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,2miners.ru ,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,coin-hive.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,bitkitten.xyz,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,blockchainmeup.org,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,hashpool.cc,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,hashhot.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,Letshash.online,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,crypit.net,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,herominers.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,leafpool.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,"cryptonote.club",,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,kryptochaos.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,coinstop.me,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,happyminer.eu,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,k1pool.como,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,luckypool.io,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,bitfex.trade,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,solopool.org,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,fairpool.cloud,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,asicminer.co,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,althash.eu,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,coinminerz.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,dexcheck.ai,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,bytecoins.world,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,spookypool.nl,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,cryptopia.co.nz,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,fairhash.org,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,fairpool.cloud,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,fairpool.xyz,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,jsecoin.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,cryptopotato.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,monero.fail,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,ncwallet.net,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,walletconnect.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,cryptobatz.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,etherscan.io,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,blockscan.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,coingecko.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,ethereum.org,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,cryptopunks.app,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,xcadnetwork.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,verawallet.io,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,coinglass.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,emailbitcoinbp.top,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,trestleprotocol.io,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,llamarpc.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,arbitrum.io,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,polymarket.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,litecoinspace.org,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,cryptoid.info,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,blockchair.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,litecoin.org,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,guild.xyz,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,pump.fun,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,mexc.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,xrpscan.com,,Block,Low,Crypto,Crypto,,,,,FALSE
DomainName,kyberswap.com,,Block,Low,Crypto,Crypto,,,,,FALSE
Url,https://github.com/frzb/coinboot,,Block,Low,Crypto,Crypto,,,,,FALSE
Url,https://github.com/craciuncezar/browser-cryptominer,,Block,Low,Crypto,Crypto,,,,,FALSE
Url,https://github.com/planeklm/razed-cryptomining,,Block,Low,Crypto,Crypto,,,,,FALSE
Url,https://github.com/RavenProject/Ravencoin,,Block,Low,Crypto,Crypto,,,,,FALSE
