IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,sharepointt.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepoints.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepoint2.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepointe.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepointu.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepointj.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepointy.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepointi.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepointo.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepointx.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepoint0.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepoint1.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepoint3.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepoint4.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepoint5.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepoint6.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepoint7.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepoint8.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepoint9.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepointa.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepointb.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepointc.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepointd.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepointf.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepointg.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepointh.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepointk.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepointl.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepointm.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepointn.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepointp.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepointq.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepointr.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepointv.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepointw.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sharepointz.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,sjarepoint.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,sharapoint.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,shardpoint.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,shqrepoint.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,shavepoint.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,shareqoint.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,sharepkint.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,charepoint.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,sharepoinp.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,shargpoint.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,shapepoint.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,3harepoint.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,sharepoijt.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,shirepoint.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,sharepoind.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,qharepoint.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,rharepoint.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,sha2epoint.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,shabepoint.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,share0oint.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,sharepgint.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,sharepmint.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,sharepnint.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,sharepoant.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,sharepohnt.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,sharepoift.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,sharepoilt.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,sharepoin4.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,sharepoinu.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,sharepoinv.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,sharepoiot.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,sharepoknt.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
