IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,azurem.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azureu.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azurex.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azure9.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azurec.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azurej.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azuret.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azureb.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azureh.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azurer.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azurep.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azure2.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azure3.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azured.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azuref.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azure8.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azure5.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azure7.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azures.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azure1.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azurey.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azurew.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azurei.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azurek.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azuren.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azureg.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azureo.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azurez.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azurel.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azureq.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azure0.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azure4.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azure6.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azurea.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azuree.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azurev.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,azurm.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,azuze.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,azura.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,aztre.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,qzure.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,azuse.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,czure.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,azuru.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,axure.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,azube.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,azere.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,ajure.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,azuve.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,ezure.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,arure.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,izure.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,az5re.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,azqre.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,azu2e.com,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
