IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,crowdstriker.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrike0.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrike1.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrike2.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrike3.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrike4.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrike5.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrike6.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrike7.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrike8.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrike9.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrikea.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrikeb.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrikec.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstriked.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrikee.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrikef.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrikeg.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrikeh.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrikei.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrikej.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrikek.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrikel.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrikem.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstriken.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrikeo.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrikep.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrikeq.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrikes.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstriket.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrikeu.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrikev.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrikew.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrikex.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrikey.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,crowdstrikez.com,,Block,,Dnstwist addition,"Reason for DNSTwist Block: addition
Tool written by jkerai1",,,,,FALSE
DomainName,arowdstrike.com,,Block,,Dnstwist bitsquatting,"Reason for DNSTwist Block: bitsquatting
Tool written by jkerai1",,,,,FALSE
DomainName,browdstrike.com,,Block,,Dnstwist bitsquatting,"Reason for DNSTwist Block: bitsquatting
Tool written by jkerai1",,,,,FALSE
DomainName,c2owdstrike.com,,Block,,Dnstwist bitsquatting,"Reason for DNSTwist Block: bitsquatting
Tool written by jkerai1",,,,,FALSE
DomainName,cbowdstrike.com,,Block,,Dnstwist bitsquatting,"Reason for DNSTwist Block: bitsquatting
Tool written by jkerai1",,,,,FALSE
DomainName,cpowdstrike.com,,Block,,Dnstwist bitsquatting,"Reason for DNSTwist Block: bitsquatting
Tool written by jkerai1",,,,,FALSE
DomainName,crgwdstrike.com,,Block,,Dnstwist bitsquatting,"Reason for DNSTwist Block: bitsquatting
Tool written by jkerai1",,,,,FALSE
DomainName,crkwdstrike.com,,Block,,Dnstwist bitsquatting,"Reason for DNSTwist Block: bitsquatting
Tool written by jkerai1",,,,,FALSE
