IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,microsofts.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,microsoft3.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,microsoft6.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,microsoftf.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,microsoftg.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,microsofth.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,microsoftl.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,microsoftm.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,microsoftn.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,microsoftx.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,microsoft2.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,microsoftv.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,microsoft4.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,microsoftk.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,microsofty.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,microsoftc.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,microsofte.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,microsofto.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,microsoftr.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,microsofti.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,microsofta.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,microsoftj.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,microsoftq.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,microsoftt.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,microsoft0.com,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
