IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,onenote0.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenote1.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenote2.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenote3.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenote4.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenote5.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenote6.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenote7.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenote8.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenote9.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenotea.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenoteb.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenotec.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenoted.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenotee.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenotef.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenoteg.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenoteh.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenotei.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenotej.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenotek.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenotel.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenotem.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenoten.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenoteo.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenotep.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenoteq.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenoter.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenotes.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenotet.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenoteu.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenotev.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenotew.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenotex.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenotey.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenotez.net,,Block,,Dnstwist addition,Reason for DNSTwist Block: addition,,,,,FALSE
DomainName,onenode.net,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,gnenote.net,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,knenote.net,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,mnenote.net,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
DomainName,nnenote.net,,Block,,Dnstwist bitsquatting,Reason for DNSTwist Block: bitsquatting,,,,,FALSE
