IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,wetransfer.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,notion.com,,Block,Informational,File Transfer,Unsanctioned Notion Sometimes used to proxy malicious Links in environment,Unsanctioned,,,,false
DomainName,evernote.com,,Block,Informational,File Transfer,Unsanctioned Evernote Sometimes used to proxy malicious Links in environment,Unsanctioned,,,,false
DomainName,bitbucket.org,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,dropbox.com,,Audit,Informational,File Transfer IN AUDIT TO PREVENT BUSINESS IMPACT,Unsanctioned.IN AUDIT TO PREVENT BUSINESS IMPACT,Unsanctioned,,None,,true
DomainName,sendtodropbox.com,,Audit,Informational,File Transfer IN AUDIT TO PREVENT BUSINESS IMPACT.,Unsanctioned. IN AUDIT TO PREVENT BUSINESS IMPACT,Unsanctioned,,None,,true
DomainName,dropboxdocs.com,,Audit,Informational,File Transfer IN AUDIT TO PREVENT BUSINESS IMPACT.,Unsanctioned. IN AUDIT TO PREVENT BUSINESS IMPACT,Unsanctioned,,None,,true
DomainName,dropboxmail.com,,Audit,Informational,File Transfer IN AUDIT TO PREVENT BUSINESS IMPACT.,Unsanctioned. IN AUDIT TO PREVENT BUSINESS IMPACT,Unsanctioned,,None,,true
DomainName,drive.google.com,,Audit,Informational,File Transfer IN AUDIT TO PREVENT BUSINESS IMPACT.,Unsanctioned.IN AUDIT TO PREVENT BUSINESS IMPACT,Unsanctioned,,None,,true
DomainName,box.com,,Audit,Informational,File Transfer IN AUDIT TO PREVENT BUSINESS IMPACT.,Unsanctioned. IN AUDIT TO PREVENT BUSINESS IMPACT,Unsanctioned,,None,,true
DomainName,docsend.com,,Audit,Informational,File Transfer IN AUDIT TO PREVENT BUSINESS IMPACT.,Unsanctioned. IN AUDIT TO PREVENT BUSINESS IMPACT,Unsanctioned,,None,,true
DomainName,craft.do,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,obsidian.md,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,keep.google.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,joplinapp.org,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,nimbusweb.me,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,simplenote.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,workflowy.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,pastebin.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,justpaste.it,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,kpaste.net,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,dpaste.org,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,zerobin.tk,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,send.vis.ee,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,bin.sx,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,transferxl.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,transfertpro.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,transfernow.net ,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,paste.debian.net,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,pastecry.pt,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,protectedtext.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,codedpad.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,rlim.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,ente.io,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,pastecode.io,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,codeishot.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,pastebin.ai,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,bingner.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,paste.fo,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,paste.pics,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,gyazo.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,pasteboard.co,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,snipboard.io,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,puush.me,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,wormhole.app,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,drop.lol,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,dropall.stream,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,sendbig.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,transferkit.io,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,sendfileonline.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,fromsmash.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,jumbomail.me,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,mediafire.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,send-anywhere.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,jumpshare.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,sendfilessecurely.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,filetransfer.io,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,megaupload.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,krakenfiles.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,kruegervich.net,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,swisstransfer.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,pixeldrain.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,sendgb.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,gofile.io,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,sendthisfile.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,terabox.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,filelist.io,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,justbeamit.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,uploadnow.io,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,tempfile.io,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,file.io,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,tmpsend.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,tmpfiles.org,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,temp-file-share.web.app,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,temp.sh,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,filebin.net,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,r2.dev,,Block,Informational,File Transfer/Paste Like Site,Cloudflare bucket Unsanctioned,Unsanctioned,,,,false
DomainName,transferbigfiles.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,plustransfer.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,pcloud.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,pastehtml.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,paste.sx,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,mega.nz,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,mega.io,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,filefactory.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,dpaste.de,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,dpaste.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,pasted.co,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,controlc.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,ipfs.tech,,Block,Informational,File Transfer (IPFS),Unsanctioned,Unsanctioned,,,,false
DomainName,ipfs.io,,Block,Informational,File Transfer (IPFS),Unsanctioned,Unsanctioned,,,,false
DomainName,cf-ipfs.com,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,freefilesync.org,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,dropsend.com,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,onionshare.org,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,filezilla-project.org,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,syncthing.net,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,ix.io,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,localhost.run,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,requestbin.net,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,anonfiles.com,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,sprunge.us,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,termbin.com,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,filecloudonline.com,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,pastebin.pl,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,4sync.com,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,pastie.org,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,ideone.com,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,textbin.net,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,zerobin.net,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,codesandbox.io,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,cloudwaysapps.com,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,clbin.com,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,wtools.io,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,paste.ee,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,siasky.net,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,backblazeb2.com,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,sendspace.com,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,plesk.page,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,wasabisys.com,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,inmotionhosting.com,,Block,Informational,File Transfer,Unsanctioned,Unsanctioned,,,,false
DomainName,flameshot.org,,Block,Informational,File Transfer,Screenshotting tool with cloud upload functionality,Unsanctioned,,,,false
DomainName,imgbb.com,,Block,Informational,File Transfer,Screenshotting tool with cloud upload functionality,Unsanctioned,,,,false
DomainName,paste.mozilla.org,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,ide.geeksforgeeks.org,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,jsfiddle.net,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,paste.centos.org,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,jsbin.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,pastelink.net,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,paste.rohitab.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,paste.opensuse.org,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,notes.io,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,paste2.org,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
Url,https://www.toptal.com/developers/hastebin,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
Url,https://defuse.ca/pastebin.htm,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
Url,https://everfall.com/paste,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,ivpaste.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,paste.ofcode.org,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,bpa.st,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,friendpaste.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,paste.jp,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,quickhighlighter.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,paste-bin.xyz,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,vpaste.net,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,paste.org.ru,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,commie.io,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,n0paste.tk,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,pastebin.pt,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,tutpaste.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,bitbin.it,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,nekobin.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,pastebin.fi,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,paste4btc.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,pastejustit.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,paste.js.org,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,pastefs.com,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,paste.mod.gg,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,paste.myst.rs,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,paste.ax,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
DomainName,p.ip.fi,,Block,Informational,File Transfer/Paste Like Site,Unsanctioned,Unsanctioned,,,,false
