ExtensionID,ExtensionURL,ExtensionName
aahnibhpidkdaeaplfdogejgoajkjgob,https://chrome.google.com/webstore/detail/aahnibhpidkdaeaplfdogejgoajkjgob,Bittorent For Chrome
hhdobjgopfphlmjbmnpglhfcgppchgje,https://chrome.google.com/webstore/detail/hhdobjgopfphlmjbmnpglhfcgppchgje,AdGuard VPN — free & secure proxy for Chrome
jagobfpimhagccjbkchfdilhejgfggna,https://chrome.google.com/webstore/detail/jagobfpimhagccjbkchfdilhejgfggna,"A.I. Archives: Share Claude, ChatGPT, Gemini, Meta"
kdfieneakcjfaiglcfcgkidlkmlijjnh,https://chrome.google.com/webstore/detail/kdfieneakcjfaiglcfcgkidlkmlijjnh,AI Grammar and Spell Checker by Ginger
oldceeleldhonbafppcapldpdifcinji,https://chrome.google.com/webstore/detail/oldceeleldhonbafppcapldpdifcinji,AI Grammar Checker & Paraphraser – LanguageTool
jjdnakkfjnnbbckhifcfchagnpofjffo,https://chrome.google.com/webstore/detail/jjdnakkfjnnbbckhifcfchagnpofjffo,AI Prompt Genius
phkadhcecbaaijkgbnjbchhgmjnpcnae,https://chrome.google.com/webstore/detail/phkadhcecbaaijkgbnjbchhgmjnpcnae,AIPal: When Webpage Meet AI
ojnbohmppadfgpejeebfnmnknjdlckgj,https://chrome.google.com/webstore/detail/ojnbohmppadfgpejeebfnmnknjdlckgj,AIPRM for ChatGPT
jecikjbpiedagpmibmgpfgnkfpomgeok,https://chrome.google.com/webstore/detail/jecikjbpiedagpmibmgpfgnkfpomgeok,alike03's Subscription Info on Steam
bibdjkcebiliphphjbnkngdjgeklgcdf,https://chrome.google.com/webstore/detail/bibdjkcebiliphphjbnkngdjgeklgcdf,Allkeyshop - Compare Game Prices
bhghoamapcdpbohphigoooaddinpkbai,https://chrome.google.com/webstore/detail/bhghoamapcdpbohphigoooaddinpkbai,Authenticator
cpedeojecpbkcomgcolphimkjdnikbck,https://chrome.google.com/webstore/detail/cpedeojecpbkcomgcolphimkjdnikbck,Auto Clicker
ihmfnheijlagmmbbegepekbebgpkolop,https://chrome.google.com/webstore/detail/ihmfnheijlagmmbbegepekbebgpkolop,Awake - Keep awake while downloading
ibaenepllmhoekeccnhdbnijijebehdl,https://chrome.google.com/webstore/detail/ibaenepllmhoekeccnhdbnijijebehdl,Be awake
ikkmichlmkbmfmbhjiegnbiobnglhjjc,https://chrome.google.com/webstore/detail/ikkmichlmkbmfmbhjiegnbiobnglhjjc,Bitcoin Crypto News
