IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,jsecoin.com,,Block,Informational,Cryptocurrency Domain,In Browser miner,,,,,FALSE
DomainName,knaben.eu,,Block,Low,peer to peer site,Torrent Metascrapper,,,,,FALSE
DomainName,amsi.fail,,Block,Informational,Used for AMSI bypass,Site generates obfuscated code for AMSI Bypass,,,,,FALSE
DomainName,wveeam.com,,Block,Informational,Veeam Phishing Site,malware downloader,,,,,FALSE
DomainName,zrry.pics,,Block,Low,Phishing Domain,Phishing Domain,,,,,FALSE
DomainName,0ffice365faxcenter.com,,Block,Low,Phishing Domain,Phishing Domain,,,,,FALSE
DomainName,determined-golick.143-198-80-107.plesk.page,,Block,Low,Parked Domain,Potentially parked Domain,,,,,FALSE
IpAddress,165.232.124.88,,Block ,Low,Malicious Digital Ocean IP,Malicious Digital Ocean IP,,,,,FALSE
DomainName,shservidores25.com.br,,Block ,Low,Malicious Webpage,Malicious Domain,,,,,FALSE
FileSha256,c664767a3bbc112903ab6c76410f25e076a9911fb44cdfeb34e6da91dd3e7929,,Block,Low,Malicious File from Discord,Malicious File from Discord,,,,,FALSE
DomainName,transfer.sh/0tUIJu/Updater.zip ,,Block,Low,powerRAT delivery,PowerRAT delivery URL,,,,,FALSE
DomainName,instagwordp.ru,,Block,Low,Phishing Domain,Phishing Domain,,,,,FALSE
DomainName,cargozwoa.ru,,Block,Low,Phishing Domain,Phishing Domain,,,,,FALSE
DomainName,quilers.ru,,Block,Low,"
DEV-0867 ","Phishing domain from 
DEV-0867 ",,,,,FALSE
DomainName,lespritjardin.be,,Block,Low,Potentially malicious Domain,Potentially malicious Domain,,,,,FALSE
DomainName,sliack.com,,Block,Low,Potentially malicious Domain,Potentially malicious Domain,,,,,FALSE
DomainName,recp.mkt81.net,,Block,Low,Potentially malicious Domain,Potentially malicious Domain,,,,,FALSE
DomainName,"
fmrsolu.ru",,Block,Low,Potentially malicious Domain,Potentially malicious Domain,,,,,FALSE
FileSha256,9976625B5A3035DC68E878AD5AC3682CCB74EF2007C501C8023291548E11301A,,Block,Low,Cucky Hash,Cucky Hash,,,,,FALSE
FileSha256,C60F778641942B7B0C00F3214211B137B683E8296ABB1905D2557BFB245BF775,,Block,Low,Cstealer Loader,Cstealer loader,,,,,FALSE
FileSha256,E3181EE97D3FFD31C22C2C303C6E75D0196912083D0C21536E5833EE7D108736,,Block,Low,Packed Cstealer,Cstealer loader,,,,,FALSE
FileSha256,E45DF7418CA47A9A4C4803697F4B28C618469C6E5A5678213AB81DF9FCC9FD51,,Block,Low,Packed Cstealer,Cstealer loader,,,,,FALSE
DomainName,zolotayavitrina.com,,Block,Low,Rhadamanthys ,Rhadamanthys,,,,,FALSE
DomainName,bluestacks-install.com,,Block,Low,Rhadamanthys ,Rhadamanthys,,,,,FALSE
DomainName,zoomus-install.com,,Block,Low,Rhadamanthys ,Rhadamanthys,,,,,FALSE
DomainName,install-zoom.com,,Block,Low,Rhadamanthys ,Rhadamanthys,,,,,FALSE
DomainName,install-anydeslk.com,,Block,Low,Rhadamanthys ,Rhadamanthys,,,,,FALSE
DomainName,install-anydesk.com,,Block,Low,Rhadamanthys ,Rhadamanthys,,,,,FALSE
DomainName,zoom-meetings-install.com,,Block,Low,Rhadamanthys ,Rhadamanthys,,,,,FALSE
DomainName,zoom-meetings-download.com,,Block,Low,Rhadamanthys ,Rhadamanthys,,,,,FALSE
DomainName,anydleslk-download.com,,Block,Low,Rhadamanthys ,Rhadamanthys,,,,,FALSE
DomainName,zoomvideo-install.com,,Block,Low,Rhadamanthys ,Rhadamanthys,,,,,FALSE
DomainName,zoom-video-install.com,,Block,Low,Rhadamanthys ,Rhadamanthys,,,,,FALSE
DomainName,istaller-zoom.com,,Block,Low,Rhadamanthys ,Rhadamanthys,,,,,FALSE
DomainName,hasankahrimanoglu.com.tr,,Block,Low,Rhadamanthys ,Rhadamanthys,,,,,FALSE
FileSha256,4a55c833abf08ecfe4fb3a7f40d34ae5aec5850bc2d79f977c8ee5e8a6f450d4,,Block,Low,Rhadamanthys ,Rhadamanthys,,,,,FALSE
DomainName,forwardtrokd.click,,Block,Low,Potentially malicious Domain,Potentially malicious Domain,,,,,FALSE
DomainName,phenotypebest.com,,Block,Low,Potentially malicious Domain,Potentially malicious Domain,,,,,FALSE
DomainName,bizkwote.com,,Block,Low,Potentially malicious Domain,Potentially malicious Domain,,,,,FALSE
DomainName,moses-staff.se,,Block,Low,Moses domain,Moses domain,,,,,FALSE
DomainName,abrahams-ax.nu,,Block,Low,Moses domain,Moses domain,,,,,FALSE
DomainName,abrahams-ax.se,,Block,Low,Moses domain,Moses domain,,,,,FALSE
DomainName,dlxfreight.bid,,Block,Low,Kronos Domain,Kronos Domain,,,,,FALSE
DomainName,tomolina.top,,Block,Low,Kronos Domain,Kronos Domain,,,,,FALSE
DomainName,dlxfreightmore.com,,Block,Low,Kronos Domain,Kronos Domain,,,,,FALSE
DomainName,facturacionmexico.net,,Block,Low,Kronos Domain,Kronos Domain,,,,,FALSE
FileSha256,0e4800e38fb6389f00d9e35f1a65669fecb3abf141a2680b9b8a5b5d255ae2cb,,Block,Low,Titan Stealer,Titan Stealer,,,,,FALSE
FileSha256,6e96dcad29a10b63f89f50040f107cdd29e850aa21c5831344976953f6704ff5,,Block,Low,Titan Stealer,Titan Stealer,,,,,FALSE
FileSha256,28ed2fded652523af511803dbea91b8cefc040ecec703b5308a6c849fb009888,,Block,Low,Titan Stealer,Titan Stealer,,,,,FALSE
FileSha256,32e1fafe04aa05424aaf18bca254760e87bba0114a16788a06768233ea9b70ab,,Block,Low,Titan Stealer,Titan Stealer,,,,,FALSE
FileSha256,129c9bdfe44b7b79abf04f56b35a65edd43d63b6294c7f05a3d140413533f385,,Block,Low,Titan Stealer,Titan Stealer,,,,,FALSE
FileSha256,421dbec55ce3481c5cecb630b4d216bacd07ce35a912abe57af81a3641414e83,,Block,Low,Titan Stealer,Titan Stealer,,,,,FALSE
FileSha256,4264a0c8d7acc6f10539285aa557a2d9d0298285b0a75a51a283241ccf11c94f,,Block,Low,Titan Stealer,Titan Stealer,,,,,FALSE
FileSha256,a7dfb6bb7ca1c8271570ddcf81bb921cf4f222e6e190e5f420d4e1eda0a0c1f2,,Block,Low,Titan Stealer,Titan Stealer,,,,,FALSE
FileSha256,dd3730841bb62b131a08cb37fbd8e1e541fb9cab6baf6c378e84d1c77e858e3a,,Block,Low,Titan Stealer,Titan Stealer,,,,,FALSE
FileSha256,e4584bb5db986d9f64297863cd5a7c4062aeeb7e4775dbda4d93d760406165a8,,Block,Low,Titan Stealer,Titan Stealer,,,,,FALSE
FileSha256,e01264912f6b5d3f3cd84261b4b19408c317e06f83292d6f2ca87ebfb0b71fdc,,Block,Low,Titan Stealer,Titan Stealer,,,,,FALSE
FileSha256,d0c428a9f32f9fa987ec74f50217d09e821d79435215eceab272dd45438c5a44,,Block,Low,Potentially malicious python malware,Potentially malicious python malware,,,,,FALSE
DomainName,pvphoto.co,,Block,Low,Phishing Domain,Phishing Domain,,,,,FALSE
DomainName,"
rihann.ru",,Block,Low,Phishing Domain,Phishing Domain,,,,,FALSE
DomainName,ziflow.io,,Block,Low,Phishing Domain,Phishing Domain,,,,,FALSE
DomainName,flamcoggrenadec.gq,,Block,Low,Phishing Domain,Phishing Domain,,,,,FALSE
FileSha256,6e2069758228e8d69f8c0a82a88ca7433a0a71076c9b1cb0d4646ba8236edf23,,Block,Low,NOBELIUM ,NOBELIUM ,,,,,FALSE
FileSha256,24caf54e7c3fe308444093f7ac64d6d520c8f44ea4251e09e24931bdb72f5548,,Block,Low,NOBELIUM ,NOBELIUM ,,,,,FALSE
FileSha256,6866041f93141697ec166fe64e35b00c5fcd5d009500ecf58dd0b7e28764b167,,Block,Low,NOBELIUM ,NOBELIUM ,,,,,FALSE
DomainName,jesuit-percolate.herokuapp.com,,Block,Low,Potentially Malicious Domain,Potentially Malicious Domain,,,,,FALSE
IpAddress,179.60.147.152,,Block,Low,Bruteforcing IP,Bruteforcing IP,,,,,FALSE
DomainName,psicologosgandia.com,,Block,Low,Potentially malicious Domain,Potentially malicious Domain,,,,,FALSE
DomainName,bloxham.co.uk,,Block,Low,Potentially Malicious Domain,Potentially malicious Domain operating under stolen database,,,,,FALSE
DomainName,thebloxhampartnership.co.uk,,Block,Low,Potentially Malicious Domain,Parked Domain being used to redirect to adult site,,,,,FALSE
FileSha256,70445f15ea1feb9a65e9610e6471bda4356fae8d0baa726cc3c2f43612bfde67,,Block,Low,Utorrent hash,Utorrent hash,,,,,FALSE
FileSha256,3d59dff3e743f83fc7e0541b2f19ab19ccc916b4719fe9abfbd410b815470f4d,,Block,Low,Malicious Email Attachment,Malicious Email Attachment,,,,,FALSE
DomainName,spztec.link,,Block,Low,Malicious Domain,Malicious Domain,,,,,FALSE
DomainName,revshells.com,,Block,Low,reverse  shell,Site allows quick deployment of reverse shells,,,,,FALSE
DomainName,rtsafetech.com,,Block,Low,c2 domain,c2 domain,,,,,FALSE
FileSha256,77d6f1914af6caf909fa2a246fcec05f500f79dd56e5d0d466d55924695c702d,,Block,Low,Stealc,Stealc,,,,,FALSE
FileSha256,e5711e041c2dc4e78f1bc5808441863b7a777ecfbdace4943202224c7fec778f,,Block,Low,Mallox Loader,Mallox Loader,,,,,FALSE
FileSha256,eb7480822f32679a558f8ea2b0a09ba7531003ea4c2644d6e7804478add7bddc,,Block,Low,Mallox Loader,Mallox Loader,,,,,FALSE
FileSha256,df30d74ab6600c1532a14c53a7f08f1afd41ec63cf427a4b91b99c3c2524caba,,Block,Low,Mallox Loader,Mallox Loader,,,,,FALSE
FileSha256,7b6d71a2330ee5ab5b64ee9b6d01f0789e0e97696407c12ad7c60c4b6f1e70fa,,Block,Low,Mallox Loader,Mallox Loader,,,,,FALSE
