IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,360skynews.com,,Block,Informational,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,9inenews.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,a.quartzquester.top,,Block,Informational,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,aampdecor.com,,Block,Informational,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,abbott-sonspartyrental.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,abcohvacr.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,accessspectrum.net,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,acpresse.fr,,Block ,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,adventuresome.in,,Block ,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,affili8.com.au,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,afriagrimagazine.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,afulibl.org,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,aicapitalinmobiliaria.cl,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,airdoctor.hu,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,ajbnews.co.uk,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,ajeg.co.id,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,ajitbakery.in,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,alamaison-home.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,albaniandf.org,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,alboronational.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,alhattabholding.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,alliance.ind.br,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,almenhad.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,amazinggraceldn.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,ameri100.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,aminofanz.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,andrettaorganizer.com.br,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,animexin.vip,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,anonymousproductionassistant.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,appointments.invisiondiagnostics.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
