IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,btunnel.co.in,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
DomainName,btunnel.in,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
DomainName,burrow.io,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
DomainName,burrow.link,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
DomainName,trycloudflare.com,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
Url,https://github.com/cloudflare/cloudflared,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
DomainName,cloudflareclient.com,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
DomainName,dataplicity.com,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
Url,https://github.com/wildfoundry/dataplicity-agent,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
DomainName,loca.lt,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
DomainName,localtunnel.me,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
Url,https://github.com/localtunnel/server,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
Url,https://github.com/kaichaosun/rlt,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
DomainName,localxpose.io,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
DomainName,loophole.cloud,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
DomainName,loophole.site,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
Url,https://github.com/loophole/cli/,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
DomainName,pagekite.net,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
DomainName,pinggy.io,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
DomainName,pinggy.link,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
DomainName,pitunnel.com,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
DomainName,serveo.net,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
DomainName,sharedwithexpose.com,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
Url,https://github.com/beyondcode/expose,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
DomainName,expose.dev,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
DomainName,shellhub.io,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
DomainName,staqlab.com,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
DomainName,staqlab-tunnel.com,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
DomainName,telebit.cloud,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
DomainName,telebit.io,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
DomainName,telebit.fun,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
DomainName,tmate.io,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
DomainName,tuns.sh,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
DomainName,ssi.sh,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
DomainName,tunnelto.dev,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
Url,https://github.com/antoniomika/sish,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
DomainName,devtunnels.ms,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
Url,https://vscode.dev/tunnel/,,Block,Informational,Unsanctioned: Living off The Tunnels (LOTS),Unsanctioned: https://lottunnels.github.io/#,Unsanctioned,,,,false
FileSha256,60E8A9E19B34CA6D9F1847504B7689B3F46B029AB07B4D13C6CCDE026D78A0A4,,BlockAndRemediate,Informational,Unsanctioned: Living off The Tunnels (LOTS) – btunnel,Unsanctioned: https://lottunnels.github.io/#  btunnel.exe	VT (3/79)	https://www.virustotal.com/gui/file/60e8a9e19b34ca6d9f1847504b7689b3f46b029ab07b4d13c6ccde026d78a0a4/detection,Unsanctioned,,,,false
FileSha256,2028EE4F3C794DB2F9B36ED30D69CEA3EE8189E6F997307D0ADA4688200D5E49,,BlockAndRemediate,Informational,Unsanctioned: Living off The Tunnels (LOTS) – loclx,Unsanctioned: https://lottunnels.github.io/# loclx.exe	VT (0/76)	https://www.virustotal.com/gui/file/2028ee4f3c794db2f9b36ed30d69cea3ee8189e6f997307d0ada4688200d5e49/detection,Unsanctioned,,,,false
FileSha256,6B50599E86A107E27CB699A3D0FC2B238EBBF4D3FB6DAB997D81E504AA538516,,BlockAndRemediate,Informational,Unsanctioned: Living off The Tunnels (LOTS) – loophole,Unsanctioned: https://lottunnels.github.io/# loophole.exe	VT (3/76)	https://www.virustotal.com/gui/file/6b50599e86a107e27cb699a3d0fc2b238ebbf4d3fb6dab997d81e504aa538516/detection,Unsanctioned,,,,false
FileSha256,70944D5FCA78E61ED58DB6265894E4CCE85E1F2F7F013810DE4A4B94B5BECC1B,,BlockAndRemediate,Informational,Unsanctioned: Living off The Tunnels (LOTS) – pagekite,Unsanctioned: https://lottunnels.github.io/# pagekite.py	VT (0/76)	https://www.virustotal.com/gui/file/70944d5fca78e61ed58db6265894e4cce85e1f2f7f013810de4a4b94b5becc1b/detection,Unsanctioned,,,,false
FileSha256,D358380C9688EC53FFE4F8879DF0885244CB3E2F99A64FB639C91AF705D041C8,,BlockAndRemediate,Informational,Unsanctioned: Living off The Tunnels (LOTS) – pinggy,Unsanctioned: https://lottunnels.github.io/# pinggy.exe	VT (0/76)	https://www.virustotal.com/gui/file/d358380c9688ec53ffe4f8879df0885244cb3e2f99a64fb639c91af705d041c8/detection,Unsanctioned,,,,false
FileSha256,408C61B3E0BD872173B10933E39A322E6B6E376CCE2E5BBF82ECAC5417BEF994,,BlockAndRemediate,Informational,Unsanctioned: Living off The Tunnels (LOTS) – dataplicity,Unsanctioned: https://lottunnels.github.io/#VT dataplicity main.py (0/76) https://www.virustotal.com/gui/file/408c61b3e0bd872173b10933e39a322e6b6e376cce2e5bbf82ecac5417bef994/detection,Unsanctioned,,,,false
FileSha256,F1EA0BE7B442593B62656A371110A218BF42E0FE63338BC558744C7D84EF7826,,BlockAndRemediate,Informational,Unsanctioned: Living off The Tunnels (LOTS) – Cloudflared 2025.10,Unsanctioned: https://lottunnels.github.io/# cloudflared-windows-amd64.exe	VT (1/76)	https://www.virustotal.com/gui/file/f1ea0be7b442593b62656a371110a218bf42e0fe63338bc558744c7d84ef7826/detection,Unsanctioned,,,,false
FileSha256,2853E1F19B92FA7538C7D47D7418E8894AA52F591F800CB612997F5C21849852,,BlockAndRemediate,Informational,Unsanctioned: Living off The Tunnels (LOTS) – Cloudflared 2025.10,Unsanctioned: https://lottunnels.github.io/# cloudflared-windows-amd64.msi	VT (0/76)	https://www.virustotal.com/gui/file/2853e1f19b92fa7538c7d47d7418e8894aa52f591f800cb612997f5c21849852/detection,Unsanctioned,,,,false
