IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,lonseal.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/lonseal.com
Tool written by jkerai1",,,,,FALSE
DomainName,metroappliancesandmore.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/metroappliancesandmore.com
Tool written by jkerai1",,,,,FALSE
DomainName,diodes.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/diodes.com
Tool written by jkerai1",,,,,FALSE
DomainName,sigma-alimentos.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/sigma-alimentos.com
Tool written by jkerai1",,,,,FALSE
DomainName,axelcium.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/axelcium.com
Tool written by jkerai1",,,,,FALSE
DomainName,slpcolombus.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/slpcolombus.com
Tool written by jkerai1",,,,,FALSE
DomainName,plravocats.fr,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/plravocats.fr
Tool written by jkerai1",,,,,FALSE
DomainName,lesbureauxdelepargne.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/lesbureauxdelepargne.com
Tool written by jkerai1",,,,,FALSE
DomainName,faacgroup.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/faacgroup.com
Tool written by jkerai1",,,,,FALSE
DomainName,bosco-avocats.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/bosco-avocats.com
Tool written by jkerai1",,,,,FALSE
DomainName,cabbageinc.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/cabbageinc.com
Tool written by jkerai1",,,,,FALSE
DomainName,alpachem.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/alpachem.com
Tool written by jkerai1",,,,,FALSE
DomainName,carnbrea.com.au,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/carnbrea.com.au
Tool written by jkerai1",,,,,FALSE
DomainName,lapostemobile.fr,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/lapostemobile.fr
Tool written by jkerai1",,,,,FALSE
DomainName,acac.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/acac.com
Tool written by jkerai1",,,,,FALSE
DomainName,emprint.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/emprint.com
Tool written by jkerai1",,,,,FALSE
DomainName,etgworld.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/etgworld.com
Tool written by jkerai1",,,,,FALSE
DomainName,iis.ac.uk,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/iis.ac.uk
Tool written by jkerai1",,,,,FALSE
DomainName,vlp.nl,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/vlp.nl
Tool written by jkerai1",,,,,FALSE
DomainName,genusplc.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/genusplc.com
Tool written by jkerai1",,,,,FALSE
DomainName,frederickco.gov,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/frederickco.gov
Tool written by jkerai1",,,,,FALSE
DomainName,sig.id,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/sig.id
Tool written by jkerai1",,,,,FALSE
DomainName,aresfoods.ca,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/aresfoods.ca
Tool written by jkerai1",,,,,FALSE
DomainName,integrate.ch,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/integrate.ch
Tool written by jkerai1",,,,,FALSE
DomainName,bizframe.co.za,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/bizframe.co.za
Tool written by jkerai1",,,,,FALSE
DomainName,clestra.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/clestra.com
Tool written by jkerai1",,,,,FALSE
DomainName,columbiagrain.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/columbiagrain.com
Tool written by jkerai1",,,,,FALSE
DomainName,cpicfiber.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/cpicfiber.com
Tool written by jkerai1",,,,,FALSE
DomainName,fedefarma.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/fedefarma.com
Tool written by jkerai1",,,,,FALSE
DomainName,madcoenergi.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/madcoenergi.com
Tool written by jkerai1",,,,,FALSE
DomainName,rovagnati.it,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/rovagnati.it
Tool written by jkerai1",,,,,FALSE
DomainName,crbrandsinc.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/crbrandsinc.com
Tool written by jkerai1",,,,,FALSE
DomainName,cristianaspinecenter.com,,Block,,Ransomwatch lockbit3,"https://www.virustotal.com/gui/domain/cristianaspinecenter.com
Tool written by jkerai1",,,,,FALSE
