IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,launchpad.net,,Block,Informational,WARNING: may cause issues with developers.Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,filehorse.com,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,software.informer.com,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,softonic.com,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,techno360.in,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,comss.ru,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,sooftware.com,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,majorgeeks.com,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,ninite.com,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,softexia.com,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,lo4d.com,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,oldgamesdownload.com,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,files-downloader.com,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,unblockit.download,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,uptodown.com,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,findmysoft.com,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,updatestar.com,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,freedownloadmanager.org,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,downloadzfree.site,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,download.cnet.com,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,sourceforge.net,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,apkmirror.com,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,modyolo.com,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,softwareok.com,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,f-droid.org,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,sanet.st,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,fitgirl-repacks.site,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,Mawtoload.com,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,warez-ddl.net,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,thepiratecity.co,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,cracked-games.org,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,archive.org,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
DomainName,slunecnice.cz,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
Url,techspot.com/downloads/,,Block,Informational,Software Packer/Software Download Site,Software Packer/Software Download Site,,,,,FALSE
