IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,phatlinks.com,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,quickredir.com,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,bit.ly,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,bitly.com,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,biolinky.co,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,drp.li,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,shorturl.at,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,goo.gl,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,rebrand.ly,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,tinyurl.com,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,dub.sh,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,d.to,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,short.gy,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,short.io,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,lootlabs.gg,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,loot-link.com,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,grabify.link,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,grabify.org,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,rplg.co,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,replug.io,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,canarytokens.com ,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,sniply.io,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,linkstorm.io,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,joturl.com,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,ow.ly,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,cutt.ly,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,hopp.bio,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,tiny.cc,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,lnk.to,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,bio.to,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,t2m.co,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,t.ly,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,appurl.io,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,bio.link,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,href.li,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,trib.al,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,Mjt.lu,,Block,,Redirector,Redirector,,,,,FALSE
DomainName,Dgt.link,,Block,,Redirector,Redirector,,,,,FALSE
