IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,intwrs-rms.org  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,nqanmsnmk.xyz  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,century21ocean.com ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,possible.network  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,jarramn.live  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,936494-session.org ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,disquis.it  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,technique.icu  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,jorimthk.xyz ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,emincan.sumer.me  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,expressing.link  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,unlike.digital ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,bremac.co.ke  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,institution.top  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,empirical.host ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,rectumkal.click  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,gsjsmk.click  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,subnet.sbs ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,nbatmjgf.live  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,reytorogroup.com  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,drlairribeiro.com ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,parrtnmal.click  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,vanesagalli.com  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,packets.icu ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,mysexdollscanada.ca  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,supercomputer.buzz  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,calldrlam.com ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,baritronics.com  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,theitalianfactory.eu  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,couchand.com ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,ahsnskdfn.network  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,iranmehrholding.com  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,omajksl.click ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,khoavuaudio.com  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,mysuosessui-intp.org  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,pub-6ae0497c224b4ee497b9d8906da627d5.r2.dev ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
DomainName,high822754177219-tech.link  ,,Block,,AnyRun IOC,AnyRun IOC,,,,,FALSE
