IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,totalwaerhouse.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,3010cars.xyz,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,ashkon9.workers.dev,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,valkyrie33.workers.dev,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,planetsoci.ru,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,m-tours.eu,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,yorkcarwash.co.za,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,llnwi.net,,Block,,JSB IOC,Ghostpulse,,,,,FALSE
DomainName,cedarridgecounseiing.com,,Block,,JSB IOC,Ghostpulse,,,,,FALSE
DomainName,kute.pw,,Block,,JSB IOC,Ghostpulse,,,,,FALSE
DomainName,myqcloud.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,z00nn.one-platform-to-connect.group,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,marchduke.tech,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,tulation.tech,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,revjet.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,westernsecurfrontierins.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,royallegendsacademy.com.ng,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,viewmicrosftdochub.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,myqcloud.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,conta.cc,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,onlinefedentservices.info,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,bizzabo.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,ipresso.pl,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,ohiopovvertool.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,visualaccess.ma,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,agadircabtravel.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,menziesdsitribution.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,12pw4536.pw,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,naylorcampaigns.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,sentieo.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,verticaldocument.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,restonsuppoz.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,sync-dataconnectorssexpinc.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,gleantap.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,bluteaenet.tech,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,mfa-msonline.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,waveon.io,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,mecagoch.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,kakanlanla.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,digitalairstrike.io,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,prsts.de,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,afrotechfoundation.org,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,01pw4136.pw,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,escapev3locity.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,quinnfiduciary.top,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,zuppler.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,galaxysocialnetwork.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,kafekazeb.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,fereverhyt.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,valdessource.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,cklproducts.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,rb.gy,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,europlaz.uk,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,nventur.ru,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,ipbjvkyamb.ru,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,docusignsecure.net,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,hudsons-gray.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,outlook-login-security.com,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
DomainName,depozituldeparafina.ro,,Block,,JSB IOC,Tool Written by jkerai1,,,,,FALSE
FileSha256,3af186f105bf2288837222188c467565e062f3f97189853e34bc91435af6e4bf,,BlockAndRemediate,,JSB IOC,"https://www.virustotal.com/gui/file/3af186f105bf2288837222188c467565e062f3f97189853e34bc91435af6e4bf
Tool written by jkerai1",,,,,FALSE
FileSha256,a6664df3ff085f7aaf28931cc8d64b9b4aa87451fa075f06733d606a49bb9e0a,,BlockAndRemediate,,JSB IOC,"https://www.virustotal.com/gui/file/a6664df3ff085f7aaf28931cc8d64b9b4aa87451fa075f06733d606a49bb9e0a
Tool written by jkerai1",,,,,FALSE
FileSha256,3af186f105bf2288837222188c467565e062f3f97189853e34bc91435af6e4bf,,BlockAndRemediate,,JSB IOC,"https://www.virustotal.com/gui/file/3af186f105bf2288837222188c467565e062f3f97189853e34bc91435af6e4bf
Tool written by jkerai1",,,,,FALSE
FileSha256,de677be4d56816e9c83a4c80262033c69962472354dda2d62794200ebeeb3822,,BlockAndRemediate,,JSB IOC,"https://www.virustotal.com/gui/file/de677be4d56816e9c83a4c80262033c69962472354dda2d62794200ebeeb3822
Tool written by jkerai1",,,,,FALSE
FileSha256,2a2c20a978325c67ec77ab4dd6b103f22970ae611aa95993e787f6e11c3a9864,,BlockAndRemediate,,JSB IOC,"https://www.virustotal.com/gui/file/2a2c20a978325c67ec77ab4dd6b103f22970ae611aa95993e787f6e11c3a9864
Tool written by jkerai1",,,,,FALSE
FileSha256,e97f0370d7b49b7bf8742048b006c2e5d7b03efdd960063b1a622e805d1ce869,,BlockAndRemediate,,JSB IOC,"https://www.virustotal.com/gui/file/e97f0370d7b49b7bf8742048b006c2e5d7b03efdd960063b1a622e805d1ce869
Tool written by jkerai1",,,,,FALSE
FileSha256,e97f0370d7b49b7bf8742048b006c2e5d7b03efdd960063b1a622e805d1ce869,,BlockAndRemediate,,JSB IOC,"https://www.virustotal.com/gui/file/e97f0370d7b49b7bf8742048b006c2e5d7b03efdd960063b1a622e805d1ce869
Tool written by jkerai1",,,,,FALSE
FileSha256,b5b972daee63588e35686a7b1a244d1385b6d4bbe7ebaf413d6c8435ea015830,,BlockAndRemediate,,JSB IOC,"https://www.virustotal.com/gui/file/b5b972daee63588e35686a7b1a244d1385b6d4bbe7ebaf413d6c8435ea015830
Tool written by jkerai1",,,,,FALSE
FileSha256,1b3d6c528960026fac16a53655c6c1c87dc1c3761a00e4275fbbe0478825e09c,,BlockAndRemediate,,JSB IOC,"https://www.virustotal.com/gui/file/1b3d6c528960026fac16a53655c6c1c87dc1c3761a00e4275fbbe0478825e09c
Tool written by jkerai1",,,,,FALSE
FileSha256,916af8fb70f1fc291254cd877af6dc764eaf5150687a686d037da0e5822f3bdf,,BlockAndRemediate,,JSB IOC,"https://www.virustotal.com/gui/file/916af8fb70f1fc291254cd877af6dc764eaf5150687a686d037da0e5822f3bdf
Tool written by jkerai1",,,,,FALSE
FileSha256,9cb00ed23a8c958cd728010b63283e125c5f3f1e5dfce68cf17f7802a113aedd,,BlockAndRemediate,,JSB IOC,"https://www.virustotal.com/gui/file/9cb00ed23a8c958cd728010b63283e125c5f3f1e5dfce68cf17f7802a113aedd
Tool written by jkerai1",,,,,FALSE
FileSha256,306702a098a8b6f5e763fa25fad174c76d6ceee51f156e631192068bd034a4ff,,BlockAndRemediate,,JSB IOC,"https://www.virustotal.com/gui/file/306702a098a8b6f5e763fa25fad174c76d6ceee51f156e631192068bd034a4ff
Tool written by jkerai1",,,,,FALSE
FileSha256,e3932db08cad7d7bd78bcd05fd51aaae94cec9b1611e35f4eadf5364f242a20e,,BlockAndRemediate,,JSB IOC,"https://www.virustotal.com/gui/file/e3932db08cad7d7bd78bcd05fd51aaae94cec9b1611e35f4eadf5364f242a20e
Tool written by jkerai1",,,,,FALSE
FileSha256,e3932db08cad7d7bd78bcd05fd51aaae94cec9b1611e35f4eadf5364f242a20e,,BlockAndRemediate,,JSB IOC,"https://www.virustotal.com/gui/file/e3932db08cad7d7bd78bcd05fd51aaae94cec9b1611e35f4eadf5364f242a20e
Tool written by jkerai1",,,,,FALSE
FileSha256,df14610d6a5e48b94e57a016db79c0318552b7a200a4aac5821ed30e67b88b39,,BlockAndRemediate,,JSB IOC,"https://www.virustotal.com/gui/file/df14610d6a5e48b94e57a016db79c0318552b7a200a4aac5821ed30e67b88b39
Tool written by jkerai1",,,,,FALSE
FileSha256,283e783f3b718d8198b8599d2dc33e3ebdbf52a73bec8d09a5cb78145e27c3b3,,BlockAndRemediate,,JSB IOC,"https://www.virustotal.com/gui/file/283e783f3b718d8198b8599d2dc33e3ebdbf52a73bec8d09a5cb78145e27c3b3
Tool written by jkerai1",,,,,FALSE
