IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,kprofiles.com,,Block,Informational,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,animexin.vip,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,coloredmanga.com,,Block,Informational,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,gayvidsclub.com,,Block,Informational,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,dailyangelprayers.net,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,healthella.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,techsprobe.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,avionprivat.ro ,,Block ,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,w15.readovergeared.com,,Block ,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,waddenvlam.nl,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,waigroup.com.au,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,wallysmarter.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,walterchasemusic.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,warwickband.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,wavetronics.com.au,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,wazfnynow.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,web-magic.ca,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,welcomeistic.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,wellenpark.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,westcotts.uk,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,westovergc.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,wiis.frl,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,wilddog.mx,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,wpr24.pl,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,wsci.ch,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,xn--12c3b2a8a2d.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,xxiku.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,yaliafrica.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,yepwego.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,youtubdownloader.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,yuksektopuklar.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,zoombusinessbrokers.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,zoomlinenetwork.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,zsemakademija.hr ,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,921hapudyqwdvy.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,98ygdjhdvuhj.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,boiibzqmk12j.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,bookchrono8273.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,bpjoieohzmhegwegmmuew.online,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,cczqyvuy812jdy.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,indogevro22tevra.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,ioiubby73b1n.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,kjniuby621edoo.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,lminoeubybyvq.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,nbvyrxry216vy.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,nmbvcxzasedrt.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,oekofkkfkoeefkefbnhgtrq.space,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,oiouhvtybh291.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,oiuugyfytvgb22h.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,oiuytyfvq621mb.org,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,ojhggnfbcy62.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,opkfijuifbuyynyny.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,pklkknj89bygvczvi.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,poqwjoemqzmemzgqegzqzf.online,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,pwwqkppwqkezqer.site,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,reedx51mut.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,sioaiuhsdguywqgyuhuiqw.org,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,ug62r67uiijo2.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,vcrwtttywuuidqioppn1.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,vvooowkdqddcqcqcdqggggl.site,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,ytntf5hvtn2vgcxxq.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,zasexdrc13ftvg.com,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
DomainName,ziucsugcbfyfbyccbasy.com ,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
FileSha256,d0c56875fb19a407a86292e35dffec6caabbdbf630fbb79de4eec04708fa7b66,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
FileSha256,37bba90d20e429ce3fd56847e4e7aaf83c62fdd70a7dbdcd35b6f2569d47d533,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
FileSha256,b029b40badab029cbd916ab2e5147e9f01abd147e1bf9e5ed1564ee44a0d087f,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
FileSha256,1a99ac759fcd881729b76c2904476b4201e794df2d0547c954ea37be7c153131,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
FileSha256,633124ed8d7af6dd22722ee43abfe9b0ad97798a1d48b951abdc1ad88e83c702,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
FileSha256,3db1afee107cf2fa57d13e60c13c87dd1c22bfa9ef23dcf369d52dd9807a5ff4,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
FileSha256,1743f4a392b6d2ad0d47a7a57e277e1a29ecf459275b604919a6131739afdaad,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
FileSha256,788567d3cc693dd5d0dada9f4e1421755c1d74257544ba12b502f085a620585e,,Block,Low,EtherHiding IOC,EtherHiding IOC,,,,,FALSE
